Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2020,2020,kg/ha,266.6,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2021,2021,kg/ha,256.4,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2022,2022,kg/ha,249.2,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2023,2023,kg/ha,243.3,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2024,2024,kg/ha,237.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",1981,1981,kg/ha,535.8,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",1982,1982,kg/ha,487.3,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",1983,1983,kg/ha,482.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2015,2015,kg/ha,192.4,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2015,2015,kg/ha,192.4,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2016,2016,kg/ha,240.1,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2017,2017,kg/ha,276.3,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2018,2018,kg/ha,281.8,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2019,2019,kg/ha,277.2,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2010,2010,kg/ha,179.0,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2011,2011,kg/ha,519.9,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2012,2012,kg/ha,519.9,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2013,2013,kg/ha,305.7,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2014,2014,kg/ha,306.0,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2005,2005,kg/ha,404.7,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2006,2006,kg/ha,151.5,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2007,2007,kg/ha,230.4,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2008,2008,kg/ha,205.2,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2009,2009,kg/ha,253.6,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2000,2000,kg/ha,415.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2001,2001,kg/ha,415.0,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2002,2002,kg/ha,441.1,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2003,2003,kg/ha,382.2,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",2004,2004,kg/ha,362.2,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1610,"Coffee, green",1995,1995,kg/ha,362.5,E,Estimated value,
